#date:2020-04-25
symbol	name	alias_symbol	alias_name	entrez_id	ensembl_gene_id	ucsc_id	refseq_accession	ccds_id	uniprot_ids
KCNJ8	potassium inwardly rectifying channel subfamily J member 8	Kir6.1		3764	ENSG00000121361	uc001rff.4	NM_004982	CCDS8692	Q15842
KCNJ9	potassium inwardly rectifying channel subfamily J member 9	"Kir3.3|GIRK3"	G protein-activated inward rectifier potassium channel 3	3765	ENSG00000162728	uc001fuy.2	NM_004983	CCDS1194	Q92806
KCNJ10	potassium inwardly rectifying channel subfamily J member 10	"Kir4.1|Kir1.2"		3766	ENSG00000177807	uc001fuw.3	NM_002241	CCDS1193	P78508
KCNJ11	potassium inwardly rectifying channel subfamily J member 11	"Kir6.2|BIR"	"ATP-sensitive inward rectifier potassium channel 11|beta-cell inward rectifier"	3767	ENSG00000187486	uc001mna.4	NM_000525	"CCDS31436|CCDS53606"	Q14654
KCNJ12	potassium inwardly rectifying channel subfamily J member 12	"Kir2.2|Kir2.2v|IRK2|hIRK1"		3768	ENSG00000184185	uc002gyv.2	NM_021012	CCDS11219	Q14500
KCNJ13	potassium inwardly rectifying channel subfamily J member 13	"Kir7.1|Kir1.4|LCA16"		3769	ENSG00000115474	uc002vtp.4	NM_002242	"CCDS2498|CCDS54437"	O60928
KCNJ14	potassium inwardly rectifying channel subfamily J member 14	"Kir2.4|IRK4"		3770	ENSG00000182324	uc002pje.3	NM_013348	CCDS12721	Q9UNX9
KCNJ15	potassium inwardly rectifying channel subfamily J member 15	"Kir4.2|Kir1.3|IRKK"		3772	ENSG00000157551	uc002ywv.5	NM_002243	CCDS13656	Q99712
KCNJ16	potassium inwardly rectifying channel subfamily J member 16	"Kir5.1|BIR9"		3773	ENSG00000153822	uc031reh.2	NM_018658	"CCDS11687|CCDS74141"	Q9NPI9
KCNJ18	potassium inwardly rectifying channel subfamily J member 18	"KIR2.6|TTPP2"		100134444	ENSG00000260458	uc032exz.1	NM_001194958	CCDS74015	B7U540
KCNK1	potassium two pore domain channel subfamily K member 1	"K2p1.1|DPK|TWIK-1"	tandem of P domains in a weak inward rectifying K+ channel 1	3775	ENSG00000135750	uc010pxo.1	NM_002245	CCDS1599	O00180
KCNK2	potassium two pore domain channel subfamily K member 2	"K2p2.1|TREK-1"		3776	ENSG00000082482	uc001hkr.5	NM_014217	"CCDS31024|CCDS41466|CCDS41467"	O95069
KCNK3	potassium two pore domain channel subfamily K member 3	"K2p3.1|TASK|TASK-1|TASK1"	TWIK-related acid-sensitive K+ 1	3777	ENSG00000171303	uc002rhn.3	NM_002246	CCDS1727	O14649
KCNK4	potassium two pore domain channel subfamily K member 4	"K2p4.1|TRAAK"		50801	ENSG00000182450	uc001nzj.2	NM_033311	CCDS8067	Q9NYG8
KCNK5	potassium two pore domain channel subfamily K member 5	"K2p5.1|TASK-2|TASK2"	TWIK-related acid-sensitive K+ 2	8645	ENSG00000164626	uc003oon.4	NM_003740	CCDS4841	O95279
KCNK6	potassium two pore domain channel subfamily K member 6	"K2p6.1|TWIK-2"		9424	ENSG00000099337	uc002oic.4	NM_004823	CCDS12513	Q9Y257
KCNK7	potassium two pore domain channel subfamily K member 7	K2p7.1		10089	ENSG00000173338	uc001oes.3	NM_005714	"CCDS8106|CCDS31608|CCDS41673"	Q9Y2U2
KCNK9	potassium two pore domain channel subfamily K member 9	"K2p9.1|TASK3|TASK-3"	TWIK-related acid-sensitive K+ 3	51305	ENSG00000169427	uc064qpg.1	NM_016601	CCDS6377	Q9NPC2
KCNK10	potassium two pore domain channel subfamily K member 10	"K2p10.1|TREK-2|TREK2|PPP1R97"	protein phosphatase 1, regulatory subunit 97	54207	ENSG00000100433	uc001xwn.4	NM_021161	"CCDS9880|CCDS9881|CCDS9882"	P57789
KCNK12	potassium two pore domain channel subfamily K member 12	"THIK-2|THIK2|K2p12.1"		56660	ENSG00000184261	uc002rwb.4	NM_022055	CCDS1835	Q9HB15
KCNK13	potassium two pore domain channel subfamily K member 13	"K2p13.1|THIK-1|THIK1"		56659	ENSG00000152315	uc001xye.2	NM_022054	CCDS9889	Q9HB14
KCNK15	potassium two pore domain channel subfamily K member 15	"K2p15.1|dJ781B1.1|KT3.3|KIAA0237|TASK5|TASK-5"	TWIK-related acid-sensitive K+ 5	60598	ENSG00000124249	uc002xmr.4	NM_022358	CCDS13337	Q9H427
KCNK16	potassium two pore domain channel subfamily K member 16	"K2p16.1|TALK-1|TALK1"		83795	ENSG00000095981	uc011dtz.2	NM_032115	"CCDS4843|CCDS47420|CCDS47421|CCDS47422|CCDS87391"	Q96T55
KCNK17	potassium two pore domain channel subfamily K member 17	"K2p17.1|TALK-2|TALK2|TASK4|TASK-4"	TWIK-related acid-sensitive K+ 4	89822	ENSG00000124780	uc003ooo.4	NM_031460	"CCDS4842|CCDS47419"	Q96T54
KCNK18	potassium two pore domain channel subfamily K member 18	"K2p18.1|TRESK-2|TRESK2|TRESK|TRIK"	TWIK related spinal cord K+ channel	338567	ENSG00000186795	uc010qsr.2	NM_181840	CCDS7598	Q7Z418
KCNMA1	potassium calcium-activated channel subfamily M alpha 1	"KCa1.1|mSLO1"	"BK channel alpha subunit|maxiK channel|big potassium channel alpha subunit"	3778	ENSG00000156113	uc001jxm.4	NM_002247	"CCDS7352|CCDS60569|CCDS60571|CCDS60572|CCDS73156|CCDS53545|CCDS81481|CCDS86106|CCDS86115|CCDS86116|CCDS86121"	Q12791
KCNMB1	potassium calcium-activated channel subfamily M regulatory beta subunit 1	hslo-beta	"BK channel beta subunit 1|MaxiK channel beta-subunit 1|big potassium channel beta subunit 1"	3779	ENSG00000145936	uc003maq.3	NM_004137	CCDS4373	Q16558
KCNMB2	potassium calcium-activated channel subfamily M regulatory beta subunit 2		"BK channel beta subunit 2|MaxiK channel beta-subunit 2|big potassium channel beta subunit 2"	10242	ENSG00000197584	uc062qdk.1	NM_181361	CCDS3223	Q9Y691
KCNMB3	potassium calcium-activated channel subfamily M regulatory beta subunit 3		"BK channel beta subunit 3|MaxiK channel beta-subunit 3|big potassium channel beta subunit 3"	27094	ENSG00000171121	uc003fjn.4	NM_001163677	"CCDS3225|CCDS3226|CCDS43172|CCDS43173|CCDS54683"	Q9NPA1
KCNMB4	potassium calcium-activated channel subfamily M regulatory beta subunit 4		"BK channel beta subunit 4|MaxiK channel beta-subunit 4|big potassium channel beta subunit 4"	27345	ENSG00000135643	uc001svx.4	NM_014505	CCDS8997	Q86W47
KCNN1	potassium calcium-activated channel subfamily N member 1	"KCa2.1|hSK1"	small conductance calcium-activated potassium channel 1	3780	ENSG00000105642	uc002nht.4	NM_002248	CCDS67611	Q92952
KCNN2	potassium calcium-activated channel subfamily N member 2	"KCa2.2|hSK2"	small conductance calcium-activated potassium channel 2	3781	ENSG00000080709	uc003kqo.5	NM_021614	"CCDS4114|CCDS43352"	Q9H2S1
KCNN3	potassium calcium-activated channel subfamily N member 3	"KCa2.3|hSK3|SKCA3"	small conductance calcium-activated potassium channel 3	3782	ENSG00000143603	uc001ffp.4	NM_002249	"CCDS1072|CCDS30880|CCDS72928"	Q9UGI6
KCNN4	potassium calcium-activated channel subfamily N member 4	"KCa3.1|hSK4|hKCa4|hIKCa1|IK"	"small conductance calcium-activated potassium channel 4|intermediate conductance calcium-activated potassium channel"	3783	ENSG00000104783	uc002oxl.3	NM_002250	CCDS12630	O15554
KCNQ1	potassium voltage-gated channel subfamily Q member 1	"Kv7.1|KCNA8|KVLQT1|JLNS1|LQT1"	Jervell and Lange-Nielsen syndrome 1	3784	ENSG00000053918	uc001lwn.4	NM_000218	CCDS7736	P51787
KCNQ2	potassium voltage-gated channel subfamily Q member 2	"Kv7.2|ENB1|BFNC|KCNA11|HNSPC"		3785	ENSG00000075043	uc002yey.2	NM_172109	"CCDS13518|CCDS13519|CCDS13520|CCDS13521|CCDS46629"	O43526
KCNQ3	potassium voltage-gated channel subfamily Q member 3	Kv7.3		3786	ENSG00000184156	uc003ytj.4	NM_004519	"CCDS34943|CCDS56554"	O43525
KCNQ4	potassium voltage-gated channel subfamily Q member 4	Kv7.4		9132	ENSG00000117013	uc001cgh.2	NM_004700	CCDS456	P56696
KCNQ5	potassium voltage-gated channel subfamily Q member 5	Kv7.5		56479	ENSG00000185760	uc003pgk.4	NM_019842	"CCDS4976|CCDS55034|CCDS55035|CCDS55037"	Q9NR82
KCNRG	potassium channel regulator			283518	ENSG00000198553	uc001vdu.3	NM_173605	"CCDS9424|CCDS41889"	Q8N5I3
KCNS1	potassium voltage-gated channel modifier subfamily S member 1	Kv9.1		3787	ENSG00000124134	uc002xnc.4	NM_002251	CCDS13342	Q96KK3
KCNS2	potassium voltage-gated channel modifier subfamily S member 2	Kv9.2		3788	ENSG00000156486	uc003yin.4	NM_020697	CCDS6279	Q9ULS6
KCNS3	potassium voltage-gated channel modifier subfamily S member 3	Kv9.3		3790	ENSG00000170745	uc002rcv.4	NM_002252	CCDS1692	Q9BQ31
KCNT1	potassium sodium-activated channel subfamily T member 1	"KCa4.1|KIAA1422|SLACK|Slo2.2"	Sequence like a calcium-activated K+ channel	57582	ENSG00000107147	uc011mdq.3	NM_020822	"CCDS35175|CCDS65188"	Q5JUK3
KCNT2	potassium sodium-activated channel subfamily T member 2	"KCa4.2|SLICK|SLO2.1"	sodium and chloride activated ATP sensitive potassium channel	343450	ENSG00000162687	uc001gtd.3	NM_198503	"CCDS1384|CCDS72994|CCDS72995"	Q6UVM3
KCNU1	potassium calcium-activated channel subfamily U member 1	"KCa5.1|Slo3|KCNMC1|Kcnma3"		157855	ENSG00000215262	uc010lvw.5	NM_001031836	CCDS55220	A8MYU2
KCNV1	potassium voltage-gated channel modifier subfamily V member 1	Kv8.1		27012	ENSG00000164794	uc010mcw.4	NM_014379	CCDS6314	Q6PIU1
KCNV2	potassium voltage-gated channel modifier subfamily V member 2	Kv8.2		169522	ENSG00000168263	uc003zho.3	NM_133497	CCDS6447	Q8TDN2
KCP	kielin cysteine rich BMP regulator	"FLJ33365|NET67"	kielin	375616	ENSG00000135253	uc064hvz.1	NM_199349		Q6ZWJ8
KCTD1	potassium channel tetramerization domain containing 1			284252	ENSG00000134504	uc010xbk.5	NM_001136205	CCDS11888	Q719H9
KCTD2	potassium channel tetramerization domain containing 2	KIAA0176		23510	ENSG00000180901	uc002jmp.4	NM_015353	CCDS32728	Q14681
KCTD3	potassium channel tetramerization domain containing 3	NY-REN-45		51133	ENSG00000136636	uc001hks.5	NM_016121	CCDS1515	Q9Y597
KCTD4	potassium channel tetramerization domain containing 4	bA321C24.3		386618	ENSG00000180332	uc058wts.1	NM_198404	CCDS9396	Q8WVF5
KCTD5	potassium channel tetramerization domain containing 5	FLJ20040		54442	ENSG00000167977	uc002crd.5	NM_018992	CCDS10475	Q9NXV2
KCTD6	potassium channel tetramerization domain containing 6	"MGC27385|KCASH3"		200845	ENSG00000168301	uc003dkj.5	NM_153331	CCDS2891	Q8NC69
KCTD7	potassium channel tetramerization domain containing 7	"FLJ32069|EPM3|CLN14"		154881	ENSG00000243335	uc003tve.4	NM_153033	"CCDS5534|CCDS55117"	Q96MP8
KCTD8	potassium channel tetramerization domain containing 8			386617	ENSG00000183783	uc003gwu.4	NM_198353	CCDS3467	Q6ZWB6
KCTD9	potassium channel tetramerization domain containing 9	"FLJ20038|BTBD27"		54793	ENSG00000104756	uc003xeo.4	NM_017634	CCDS6048	Q7L273
KCTD10	potassium channel tetramerization domain containing 10	"MSTP028|BTBD28"		83892	ENSG00000110906	uc001toi.2	NM_031954	CCDS9128	Q9H3F6
KCTD11	potassium channel tetramerization domain containing 11	"REN|KCASH1"		147040	ENSG00000213859	uc002gge.5	NM_001002914	CCDS32545	Q693B1
KCTD12	potassium channel tetramerization domain containing 12	"KIAA1778|PFET1"	predominantly fetal expressed T1 domain	115207	ENSG00000178695	uc010aeu.2	NM_138444	CCDS9455	Q96CX2
KCTD13	potassium channel tetramerization domain containing 13	"PDIP1|FKSG86|POLDIP1"	"polymerase delta-interacting protein 1|TNFAIP1-like"	253980	ENSG00000174943	uc002duv.5	NM_178863	CCDS10661	Q8WZ19
KCTD14	potassium channel tetramerization domain containing 14	MGC2376		65987	ENSG00000151364	uc001oyw.5	NM_023930	"CCDS8255|CCDS60908"	Q9BQ13
KCTD15	potassium channel tetramerization domain containing 15	MGC25497		79047	ENSG00000153885	uc002nuw.5	NM_024076	"CCDS12434|CCDS46039"	Q96SI1
KCTD16	potassium channel tetramerization domain containing 16	KIAA1317		57528	ENSG00000183775	uc003lnm.2	NM_020768	CCDS34260	Q68DU8
KCTD17	potassium channel tetramerization domain containing 17	FLJ12242		79734	ENSG00000100379	uc011amv.4	NM_024681	"CCDS13940|CCDS74854|CCDS74855"	Q8N5Z5
KCTD18	potassium channel tetramerization domain containing 18	"FLJ31322|6530404F10Rik|FLJ37818"		130535	ENSG00000155729	uc002uvs.4	NM_152387	CCDS2330	Q6PI47
KCTD19	potassium channel tetramerization domain containing 19	FLJ40162		146212	ENSG00000168676	uc002esu.3	NM_001100915	CCDS42179	Q17RG1
KCTD20	potassium channel tetramerization domain containing 20	"dJ108K11.3|MGC14254"		222658	ENSG00000112078	uc003ome.4	NM_173562	"CCDS4821|CCDS69096|CCDS69097"	Q7Z5Y7
KCTD21	potassium channel tetramerization domain containing 21	KCASH2		283219	ENSG00000188997	uc001ozb.4	NM_001029859	CCDS31645	Q4G0X4
KDELR1	KDEL endoplasmic reticulum protein retention receptor 1	"ERD2.1|ERD2|HDEL"		10945	ENSG00000105438	uc002pjb.1	NM_006801	CCDS12718	P24390
KDELR2	KDEL endoplasmic reticulum protein retention receptor 2	"ELP-1|ERD2.2"		11014	ENSG00000136240	uc003sqe.5	NM_001100603	"CCDS5351|CCDS43550"	P33947
KDELR3	KDEL endoplasmic reticulum protein retention receptor 3			11015	ENSG00000100196	uc003avv.4	NM_006855	"CCDS13972|CCDS46705"	O43731
KDF1	keratinocyte differentiation factor 1	"FLJ34633|RP11-344H11.3"		126695	ENSG00000175707		NM_152365	CCDS293	Q8NAX2
KDM1A	lysine demethylase 1A	"KIAA0601|BHC110|LSD1"	Lysine-specific histone demethylase 1A	23028	ENSG00000004487	uc001bgi.3	NM_015013	"CCDS30627|CCDS53278|CCDS85939"	O60341
KDM1B	lysine demethylase 1B	"FLJ34109|FLJ33898|dJ298J15.2|bA204B7.3|FLJ43328|LSD2"		221656	ENSG00000165097	uc003ncn.2	NM_153042	CCDS34343	Q8NB78
KDM2A	lysine demethylase 2A	"KIAA1004|FBL11|LILINA|DKFZP434M1735|FBL7|FLJ00115|CXXC8|JHDM1A"	"F-box protein FBL11|jumonji C domain-containing histone demethylase 1A"	22992	ENSG00000173120	uc001ojw.4	NM_012308	"CCDS44657|CCDS58148"	Q9Y2K7
KDM2B	lysine demethylase 2B	"PCCX2|CXXC2|Fbl10|JHDM1B"	jumonji C domain-containing histone demethylase 1B	84678	ENSG00000089094	uc058uhq.1	NM_032590	"CCDS41849|CCDS41850"	Q8NHM5
KDM3A	lysine demethylase 3A	"TSGA|KIAA0742|JHMD2A"	jumonji C domain-containing histone demethylase 2A	55818	ENSG00000115548	uc061lmi.1	NM_018433	CCDS1990	Q9Y4C1
KDM3B	lysine demethylase 3B	"KIAA1082|NET22"		51780	ENSG00000120733	uc003lcy.1	NM_016604	CCDS34242	Q7LBC6
KDM4A	lysine demethylase 4A	"KIAA0677|JHDM3A|TDRD14A"	"jumonji C domain-containing histone demethylase 3A|tudor domain containing 14A"	9682	ENSG00000066135	uc001cjx.4	NM_014663	CCDS491	O75164
KDM4B	lysine demethylase 4B	"KIAA0876|TDRD14B"	tudor domain containing 14B	23030	ENSG00000127663	uc002mbq.5	NM_015015	CCDS12138	O94953
KDM4C	lysine demethylase 4C	"GASC1|KIAA0780|TDRD14C"	tudor domain containing 14C	23081	ENSG00000107077	uc003zkh.4	NM_015061	"CCDS6471|CCDS55285|CCDS55286|CCDS78379"	Q9H3R0
KDM4D	lysine demethylase 4D	FLJ10251		55693	ENSG00000186280	uc001pfe.4	NM_018039	CCDS8302	Q6B0I6
KDM4E	lysine demethylase 4E	"JMJD2E|KDM5E"		390245	ENSG00000235268	uc010ruf.1	NM_001161630	CCDS44713	B2RXH2
KDM5A	lysine demethylase 5A			5927	ENSG00000073614	uc001qif.3	NM_005056	CCDS41736	P29375
KDM5B	lysine demethylase 5B	"RBBP2H1A|PLU-1|CT31|PPP1R98"	"cancer/testis antigen 31|protein phosphatase 1, regulatory subunit 98"	10765	ENSG00000117139	uc001gyf.4	NM_006618	"CCDS30974|CCDS81417"	Q9UGL1
KDM5C	lysine demethylase 5C	"DXS1272E|XE169"		8242	ENSG00000126012	uc004drz.4	NM_004187	"CCDS14351|CCDS55417|CCDS65269|CCDS87747"	P41229
KDM5D	lysine demethylase 5D	KIAA0234		8284	ENSG00000012817	uc011naz.3	NM_004653	"CCDS14794|CCDS55554|CCDS55555"	Q9BY66
KDM6A	lysine demethylase 6A			7403	ENSG00000147050	uc004dge.5	NM_021140	CCDS14265	O15550
KDM6B	lysine demethylase 6B	KIAA0346		23135	ENSG00000132510	uc002giw.2	NM_001080424	"CCDS32552|CCDS86569"	O15054
KDM7A	lysine demethylase 7A	KIAA1718		80853	ENSG00000006459		NM_030647	CCDS43658	Q6ZMT4
KDM8	lysine demethylase 8	FLJ13798	JmjC arginyl-hydroxylase	79831	ENSG00000155666	uc002doh.3	NM_024773	"CCDS10627|CCDS45448"	Q8N371
KDR	kinase insert domain receptor	"FLK1|VEGFR|VEGFR2|CD309"	"vascular endothelial growth factor receptor 2|fetal liver kinase 1"	3791	ENSG00000128052	uc003has.4	NM_002253	CCDS3497	P35968
KDSR	3-ketodihydrosphingosine reductase	"DHSR|SDR35C1"	"3-dehydrosphinganine reductase|short chain dehydrogenase/reductase family 35C, member 1"	2531	ENSG00000119537	uc010dpw.4	NM_002035	CCDS11982	Q06136
KEAP1	kelch like ECH associated protein 1	"KIAA0132|MGC10630|MGC1114|MGC20887|MGC4407|MGC9454|INrf2|KLHL19"	kelch-like family member 19	9817	ENSG00000079999	uc002mor.2	NM_012289	CCDS12239	Q14145
KEL	Kell metallo-endopeptidase (Kell blood group)	"ECE3|CD238"		3792	ENSG00000197993	uc003wcb.4	NM_000420	CCDS34766	P23276
KERA	keratocan	SLRR2B	keratocan proteoglycan	11081	ENSG00000139330	uc001tbl.4	NM_007035	CCDS9037	O60938
KHDC1	KH domain containing 1	"MGC10818|bA257K9.4|NDG1|Em:AC019205.8"		80759	ENSG00000135314	uc003pgn.5	NM_030568	"CCDS43480|CCDS59027"	Q4VXA5
KHDC1L	KH domain containing 1 like	RP11-257K9.7		100129128	ENSG00000256980	uc003pgm.5	NM_001126063	CCDS47450	Q5JSQ8
KHDC3L	KH domain containing 3 like, subcortical maternal complex member	ECAT1	ES cell associated transcript 1	154288	ENSG00000203908	uc003pgt.5	NM_001017361	CCDS34484	Q587J8
KHDC4	KH domain containing 4, pre-mRNA splicing factor	"BLOM7|SNORA80EHG"		22889	ENSG00000132680	uc001fmi.2	NM_014949	CCDS30885	Q7Z7F0
KHDRBS1	KH RNA binding domain containing, signal transduction associated 1	"Sam68|p62|FLJ34027"	"GAP-associated tyrosine phosphoprotein p62|Src-associated in mitosis 68 kDa protein"	10657	ENSG00000121774	uc001bub.5	NM_006559	"CCDS350|CCDS60067"	Q07666
KHDRBS2	KH RNA binding domain containing, signal transduction associated 2	"SLM1|SLM-1|MGC26664"	Sam68-like mammalian protein 1	202559	ENSG00000112232	uc003peg.3	NM_152688	CCDS4963	Q5VWX1
KHDRBS3	KH RNA binding domain containing, signal transduction associated 3	"T-STAR|Etle|etoile|SALP|SLM2|SLM-2"		10656	ENSG00000131773	uc003yuv.4	NM_006558	CCDS6374	O75525
KHK	ketohexokinase		fructokinase	3795	ENSG00000138030	uc002rim.3	NM_000221	"CCDS1734|CCDS1735"	P50053
KHNYN	KH and NYN domain containing			23351	ENSG00000100441	uc010tpc.3	NM_001290256	CCDS32058	O15037
KHSRP	KH-type splicing regulatory protein	"KSRP|FBP2|FUBP2"	FUSE binding protein 2	8570	ENSG00000088247	uc002mer.5	NM_001366299	CCDS45936	Q92945
KIAA0040	KIAA0040			9674	ENSG00000235750	uc001gko.4	NM_014656	CCDS86034	Q15053
KIAA0100	KIAA0100	"DKFZp686M0843|MGC111488|BCOX1|CT101|BCOX|FMP27"	"cancer/testis antigen 101|breast cancer overexpressed gene 1"	9703	ENSG00000007202	uc002hbu.4	NM_014680	"CCDS32595|CCDS86585"	Q14667
KIAA0232	KIAA0232			9778	ENSG00000170871	uc003gjq.5	NM_014743	CCDS43209	Q92628
KIAA0319	KIAA0319	NMIG	neuronal migration	9856	ENSG00000137261	uc003neh.2	NM_014809	"CCDS34348|CCDS54969|CCDS54970|CCDS54971|CCDS75409"	Q5VV43
KIAA0319L	KIAA0319 like	"KIAA1837|AAVR"	AAV receptor	79932	ENSG00000142687	uc001byx.4	NM_024874	CCDS390	Q8IZA0
KIAA0408	KIAA0408			9729	ENSG00000189367	uc011ebs.3	NM_014702	CCDS34531	Q6ZU52
KIAA0513	KIAA0513			9764	ENSG00000135709	uc010voj.4	NM_014732	"CCDS32499|CCDS67091|CCDS73919"	O60268
KIAA0586	KIAA0586	"Talpid3|JBTS23"		9786	ENSG00000100578	uc001xdv.5	NM_014749	"CCDS45115|CCDS58320|CCDS58321|CCDS58322|CCDS73639"	Q9BVV6
KIAA0753	KIAA0753	"OFIP|MNR"	"moonraker|OFD1 and FOPNL interacting protein"	9851	ENSG00000198920	uc002gde.5	NM_014804	"CCDS42247|CCDS86564"	Q2KHM9
KIAA0754	KIAA0754			643314			NM_015038	CCDS76143	O94854
KIAA0825	KIAA0825	"DKFZp686F0372|MGC34713"		285600	ENSG00000185261	uc003kkp.3	NM_173665	CCDS4070	Q8IV33
KIAA0895	KIAA0895			23366	ENSG00000164542	uc011kax.2	NM_015314	"CCDS43570|CCDS47573|CCDS56482|CCDS56483|CCDS56484|CCDS75583"	Q8NCT3
KIAA0895L	KIAA0895 like	LOC653319		653319	ENSG00000196123	uc059vqc.1	NM_001040715	CCDS42177	Q68EN5
KIAA0930	KIAA0930	bK268H5.C22.1		23313	ENSG00000100364	uc003bfx.2	NM_001009880	"CCDS33665|CCDS33666"	Q6ICG6
KIAA1107	KIAA1107	APache	AP2-interacting clathrin-endocytosis protein	23285	ENSG00000069712	uc010otd.2	NM_015237	CCDS44172	Q9UPP5
KIAA1109	KIAA1109	"FLJ21404|FSA|KIAA1371|Tweek"	fragile site-associated	84162	ENSG00000138688	uc062zjm.1	NM_020797	CCDS43267	Q2LD37
KIAA1143	KIAA1143			57456	ENSG00000163807	uc011bac.3	NM_020696	CCDS2721	Q96AT1
KIAA1191	KIAA1191	"FLJ21022|p33MONOX|p60MONOX"	p60MONOX brain-derived rescue factor	57179	ENSG00000122203	uc003mdw.5	NM_020444	"CCDS4399|CCDS43402|CCDS75373"	Q96A73
KIAA1210	KIAA1210			57481	ENSG00000250423	uc004era.4	NM_020721	CCDS48156	Q9ULL0
KIAA1217	KIAA1217	"DKFZP761L0424|SKT|ETL4"	sickle tail	56243	ENSG00000120549	uc001iru.6	NM_019590	"CCDS31165|CCDS41496|CCDS60501|CCDS60502|CCDS60504|CCDS60505"	Q5T5P2
KIAA1328	KIAA1328		hinderin	57536	ENSG00000150477	uc002kzz.4	NM_020776	CCDS45855	Q86T90
KIAA1522	KIAA1522			57648	ENSG00000162522	uc001bvu.2	NM_001198972	"CCDS41298|CCDS55588|CCDS55589"	Q9P206
KIAA1549	KIAA1549			57670	ENSG00000122778	uc011kqj.3	NM_001164665	"CCDS47723|CCDS56513"	Q9HCM3
KIAA1549L	KIAA1549 like	"G2|MGC34830"		25758	ENSG00000110427	uc021qfs.2	NM_012194	CCDS44565	Q6ZVL6
KIAA1586	KIAA1586			57691	ENSG00000168116	uc003pdj.5	NM_020931	"CCDS34480|CCDS69138"	Q9HCI6
KIAA1614	KIAA1614			57710	ENSG00000135835	uc001gok.3	NM_020950	CCDS41442	Q5VZ46
KIAA1671	KIAA1671			85379	ENSG00000197077	uc062clx.1	NM_001145206	CCDS46676	Q9BY89
KIAA1755	KIAA1755	RP5-1054A22.3		85449	ENSG00000149633	uc002xhy.2	NM_001029864	CCDS33467	Q5JYT7
KIAA1841	KIAA1841			84542	ENSG00000162929	uc002saw.5	NM_032506	"CCDS1867|CCDS46296|CCDS82456"	Q6NSI8
KIAA1958	KIAA1958	FLJ39294		158405	ENSG00000165185	uc064vco.1	NM_133465	"CCDS35108|CCDS69642"	Q8N8K9
KIAA2012	KIAA2012			100652824	ENSG00000182329		NM_001277372	CCDS74631	Q0VF49
KIAA2013	KIAA2013	"MGC33867|RP5-1077B9.1"		90231	ENSG00000116685	uc001atk.4	NM_138346	CCDS141	Q8IYS2
KIAA2026	KIAA2026	FLJ20375		158358	ENSG00000183354	uc003zjq.5	NM_001017969		Q5HYC2
KIDINS220	kinase D interacting substrate 220	ARMS	ankyrin repeat-rich membrane-spanning protein	57498	ENSG00000134313	uc002qzc.2	NM_020738	"CCDS42650|CCDS86818|CCDS86819"	Q9ULH0
KIF1A	kinesin family member 1A	UNC104		547	ENSG00000130294	uc031rsb.2	NM_138483	"CCDS46561|CCDS58757"	Q12756
KIF1B	kinesin family member 1B	"KIAA0591|KLP|HMSNII"		23095	ENSG00000054523	uc001aqw.5	NM_001365951	"CCDS111|CCDS112"	O60333
KIF1C	kinesin family member 1C	"SPAX2|SPG58"		10749	ENSG00000129250	uc002gan.3	NM_006612	CCDS11065	O43896
KIF2A	kinesin family member 2A	HK2		3796	ENSG00000068796	uc003jsy.5	NM_004520	"CCDS3980|CCDS47216|CCDS58949"	O00139
KIF2B	kinesin family member 2B			84643	ENSG00000141200	uc002iua.3	NM_032559	CCDS32685	Q8N4N8
KIF2C	kinesin family member 2C	"MCAK|CT139"		11004	ENSG00000142945	uc001cmg.5	NM_006845	"CCDS512|CCDS72774"	Q99661
KIF3A	kinesin family member 3A	"FLA10|KLP-20"	kinesin family protein 3A	11127	ENSG00000131437	uc003kxo.4	NM_007054	"CCDS34235|CCDS75295|CCDS75296"	Q9Y496
KIF3B	kinesin family member 3B	"KIAA0359|FLA8|KLP-11"		9371	ENSG00000101350	uc002wxq.4	NM_004798	CCDS13200	O15066
KIF3C	kinesin family member 3C			3797	ENSG00000084731	uc002rgu.3	NM_002254	CCDS1719	O14782
KIF4A	kinesin family member 4A	"KIF4-G1|KIF4|HSA271784|FLJ12530|FLJ12655|FLJ14204|FLJ20631|MRX100"	chromokinesin	24137	ENSG00000090889	uc004dyg.4	NM_012310	CCDS14401	O95239
KIF4B	kinesin family member 4B			285643	ENSG00000226650	uc010jih.2	NM_001099293	CCDS47324	Q2VIQ3
KIF5A	kinesin family member 5A	"D12S1889|NKHC|MY050"		3798	ENSG00000155980	uc001sor.2	NM_004984	"CCDS8945|CCDS86312"	Q12840
KIF5B	kinesin family member 5B	KNS		3799	ENSG00000170759	uc001iwe.5	NM_004521	CCDS7171	P33176
KIF5C	kinesin family member 5C			3800	ENSG00000168280	uc010zbu.3	NM_004522	CCDS74586	O60282
KIF6	kinesin family member 6	"dJ1043E3.1|MGC33317|dJ137F1.4|dJ188D3.1|DKFZp451I2418"		221458	ENSG00000164627	uc003oot.3	NM_145027	"CCDS4844|CCDS75449|CCDS87392"	Q6ZMV9
KIF7	kinesin family member 7	JBTS12		374654	ENSG00000166813	uc002bof.3	NM_198525	CCDS32325	Q2M1P5
KIF9	kinesin family member 9	MGC104186		64147	ENSG00000088727	uc062jch.1	NM_001134878	"CCDS2751|CCDS2752"	Q9HAQ2
